gw_timestamp,time_stamp,err_flag,wind_velocity,wind_direction,temperature,humidity,air_pressure,illuminance,rain_level,ultra_violet_a,ultra_violet_b,acceleration_x,acceleration_y,acceleration_z,inclination_xz,inclination_yz,max_wind_velocity,direct_max_wind_velocity,max_inst_wind_velocity,direct_max_inst_wind_velocity,,,,,
2022-02-05 23:40:25 +07,2022-02-05 23:40:25 +07,0,0.932,1134221722,26,75,1011,0,0,0.03,0,0,0,1,4.1,7.1,0,0,0,0,,,,,
2022-02-05 23:50:25 +07,2022-02-05 23:50:25 +07,0,1.505,1134349517,26,76,1011,0,0,0.03,0,0,0,1,4.2,6.9,0,0,0,0,,,,,
2022-02-06 00:00:25 +07,2022-02-06 00:00:25 +07,0,0.096,0,26,76,1011,0,0,0.03,0,0,0,1,4.1,6.8,0,0,0,0,,,,,
2022-02-06 00:10:25 +07,2022-02-06 00:10:25 +07,0,1.042,1132619366,26,76,1011,0,0,0.03,0,0,0,1,4.1,6.9,0,0,0,0,,,,,
2022-02-06 00:20:25 +07,2022-02-06 00:20:25 +07,0,2.316,1110206054,26,76,1011,0,0,0.03,0,0,0,1,3.9,7,0,0,0,0,,,,,
2022-02-06 00:30:25 +07,2022-02-06 00:30:25 +07,0,2.631,1110258483,26,76,1011,0,0,0.03,0,0,0,1,4.1,7.6,0,0,0,0,,,,,
2022-02-06 00:40:25 +07,2022-02-06 00:40:25 +07,0,1.093,1086324736,26,77,1011,0,0,0.03,0,0,0,1,4,7.2,0,0,0,0,,,,,
2022-02-06 00:50:25 +07,2022-02-06 00:50:25 +07,0,0.258,0,26,77,1011,0,0,0.03,0,0,0,1,4.1,6.9,0,0,0,0,,,,,
2022-02-06 01:00:25 +07,2022-02-06 01:00:25 +07,0,0.311,1135561933,25,77,1011,0,0,0.03,0,0,0,1,4.1,7.1,0,0,0,0,,,,,
2022-02-06 01:10:25 +07,2022-02-06 01:10:25 +07,0,0.892,1115055718,25,78,1011,0,0,0.03,0,0,0,1,4.1,6.9,0,0,0,0,,,,,
2022-02-06 01:20:25 +07,2022-02-06 01:20:25 +07,0,0.863,1133087949,25,79,1011,0,0,0.03,0,0,0,1,3.8,6.9,0,0,0,0,,,,,
2022-02-06 01:30:25 +07,2022-02-06 01:30:25 +07,0,0.243,0,25,79,1011,0,0,0.03,0,0,0,1,4.1,7.1,0,0,0,0,,,,,
2022-02-06 01:40:25 +07,2022-02-06 01:40:25 +07,0,0.24,0,25,80,1011,0,0,0.03,0,0,0,1,4,6.9,0,0,0,0,,,,,
